id,file,llm_sparql,llm_entity,model_entity,model_sparql,benchmark,shape_type,dataset_type,annotation,baseline_run,num_questions,max_retries,prompt_tokens,completion_tokens,total_tokens,avg_prompt_tokens,avg_completion_tokens,avg_total_tokens,total_retries,avg_retries,tp,fp,fn,invalid,precision,recall,f1_score,accuracy,ena
17,Experiment_Results/logs/13-05-2025/KG_Agent_MK2_17/experiment_nr_17_summary.txt,openai,openai,gpt-4o-mini,gpt-4o-mini,/root/benchmark/QALD_9_plus/data/qald_9_plus_test_dbpedia.json,shex,dbpedia,False,False,50,9,92823,1430,94253,1856.46,28.60,1885.06,0,0.00,6,8,26,10,0.43,0.19,0.26,15.00,4.58
16,Experiment_Results/logs/13-05-2025/KG_Agent_MK2_16/experiment_nr_16_summary.txt,openai,openai,gpt-4o-mini,gpt-4o-mini,/root/benchmark/QALD_9_plus/data/qald_9_plus_test_dbpedia.json,shacl,dbpedia,False,False,50,9,187995,1440,189435,3759.90,28.80,3788.70,0,0.00,7,5,28,10,0.58,0.20,0.30,17.50,4.89
5,Experiment_Results/logs/13-05-2025/KG_Agent_MK2_5/experiment_nr_5_summary.txt,openai,openai,gpt-4o-mini,gpt-4o-mini,/root/benchmark/corporate/qald_corporate.json,shex,corporate_graphs,False,False,50,9,120710,2844,123554,2414.20,56.88,2471.08,2,0.04,11,18,20,1,0.38,0.35,0.37,22.45,6.36
20,Experiment_Results/logs/13-05-2025/KG_Agent_MK2_20/experiment_nr_20_summary.txt,openai,openai,gpt-4o-mini,gpt-4o-mini,/root/benchmark/QALD_9_plus/data/qald_9_plus_test_wikidata.json,shex,wikidata,False,False,50,9,118100,1621,119721,2362.00,32.42,2394.42,2,0.04,10,13,22,5,0.43,0.31,0.36,22.22,6.32
22,Experiment_Results/logs/13-05-2025/KG_Agent_MK2_22/experiment_nr_22_summary.txt,openai,openai,gpt-4o-mini,gpt-4o-mini,/root/benchmark/QALD_9_plus/data/qald_9_plus_test_wikidata.json,shacl,wikidata,True,False,50,9,413748,1409,415157,8274.96,28.18,8303.14,0,0.00,15,10,20,5,0.60,0.43,0.50,33.33,8.50
21,Experiment_Results/logs/13-05-2025/KG_Agent_MK2_21/experiment_nr_21_summary.txt,openai,openai,gpt-4o-mini,gpt-4o-mini,/root/benchmark/QALD_9_plus/data/qald_9_plus_test_wikidata.json,shacl,wikidata,False,False,50,9,340074,1636,341710,6801.48,32.72,6834.20,2,0.04,8,16,21,5,0.33,0.28,0.30,17.78,4.46
19,Experiment_Results/logs/13-05-2025/KG_Agent_MK2_19/experiment_nr_19_summary.txt,openai,openai,gpt-4o-mini,gpt-4o-mini,/root/benchmark/QALD_9_plus/data/qald_9_plus_test_wikidata.json,shex,wikidata,True,False,50,9,147323,1509,148832,2946.46,30.18,2976.64,1,0.02,12,8,25,5,0.60,0.32,0.42,26.67,7.53
15,Experiment_Results/logs/13-05-2025/KG_Agent_MK2_15/experiment_nr_15_summary.txt,openai,openai,gpt-4o-mini,gpt-4o-mini,/root/benchmark/corporate/qald_dbpedia.json,shacl,dbpedia,False,False,50,9,202055,1641,203696,4041.10,32.82,4073.92,2,0.04,7,3,22,18,0.70,0.24,0.36,21.88,5.83
11,Experiment_Results/logs/13-05-2025/KG_Agent_MK2_11/experiment_nr_11_summary.txt,openai,openai,gpt-4o-mini,gpt-4o-mini,/root/benchmark/corporate/qald_corporate.json,shacl,corporate_graphs,False,False,50,9,281542,7072,288614,5630.84,141.44,5772.28,34,0.68,6,12,31,1,0.33,0.16,0.22,12.24,1.94
14,Experiment_Results/logs/13-05-2025/KG_Agent_MK2_14/experiment_nr_14_summary.txt,openai,openai,gpt-4o-mini,gpt-4o-mini,/root/benchmark/corporate/qald_dbpedia.json,shex,dbpedia,False,False,50,9,99662,1925,101587,1993.24,38.50,2031.74,13,0.26,7,8,17,18,0.47,0.29,0.36,21.88,5.25
